ddd,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
58,0.247031246,0.25623546,0,0.128779442,0.085118581,0.085118581,0,0,0.213898023,0,0,0,0.26943393,0.128779442,0,0,0,0,0,0,0.085118581,0.154367475,0.263783399,0.273848354,0.223685459,0,0,0,0.321939968,0,0,0,0,0.213898023,0,0.274197977,0.258765588,0,0,0.247031246,0,0,0,0.128779442,0.236700263,0,0,0.128779442,0.085118581,0.085118581,0.281563757,0,0,0.085118581,0.085118581,0.37257279,0.311420966,0.311420966,0.291356322,0,0.153365618,0.360381742,0,0,0,0.26943393,0,0,0,0,0.128779442,0.152313841,0.150878183,0.085118581,0.213898023,0,0.384406484,0,0.247031246,0.247031246,0.085118581,0.238228989,0,0.274862756,0.229084638,0,0.128779442,0.154367475,0.230211939,0.247031246,0.085118581,0,0,0,0.085118581,0,0,0.154367475,0,0,0.274778913,0.085118581,0,0.245414844,0,0.249672803,0,0,0,0.128779442,0,0,0,0,0,0,0,0.128779442,0.085118581,0.345750292,0,0,0.273848354,0,0.261351031,0,0,0.154367475,0,0,0.153365618,0,0.128779442,0,0.26943393,0,0,0,0.128779442,0.128779442,0,0.311420966,0.223685459,0.085118581,0.085118581,0,0.492185766,0.213898023,0.247031246,0,0.128779442,0.128779442,0.223685459,0.26943393,0.213898023,0,0.213898023,0.416897749,0.322843911,0,0,0.492185766,0.085118581,0.274862756,0.247031246,0,0.344005155,0.085118581,0.239333152,0.249672803,0,0,0,0.326767196,0,0,0,0,0.256664892,0,0.085118581,0,0.247031246,0.223685459,0.239333152,0,0.223685459,0.258107205,0,0.309495636,0,0,0,0,0,0.323959259,0.247031246,0.247031246,0,0
59,0,0.148039598,0.148039598,0.146923868,0,0,0.148039598,0.148039598,0.724749768,0,0,0.148039598,0,0.584922789,0,0.148039598,0.38449822,0,0.357831509,0,0.148039598,0.091693573,0.456930921,0.148022961,0,0,0,0,0,0,0,0,0.357831509,0.458070739,0,0.584922789,0.148039598,0,0.357831509,0.148039598,0,0,0.146781162,0,0.382526667,0,0.091693573,0,0.387245544,0.148039598,0,0,0.384140988,0.146781162,0.148039598,0.434309641,0,0,0.11622397,0,0,0.382526667,0.148039598,0,0,0,0,0,0,0,0.148039598,0.148039598,0.582595762,0.148039598,0.434309641,0.146781162,0.434309641,0,0.091693573,0.147767196,0,0,0.584922789,0.357831509,0.434309641,0,0,0,0.573796478,0,0,0,0,0.385867306,0,0.146781162,0.357831509,0,0,0,0.584120773,0,0,0.734280086,0.148039598,0.434309641,0.091693573,0,0.357831509,0,0.148039598,0.091693573,0,0.56504987,0.11622397,0,0.146781162,0.357831509,0,0,0.146781162,0,0.357831509,0,0.146923868,0.11622397,0,0.602758499,0,0,0.691264244,0.357831509,0.148039598,0.147750686,0.383815916,0,0,0.56504987,0,0.11622397,0.56504987,0.091693573,0,0,0.148039598,0,0,0.458070739,0.091693573,0.146781162,0,0.584922789,0,0,0.453008928,0,0.434309641,0,0,0.357831509,0,0,0.091693573,0,0.584120773,0,0,0,0,0.453876554,0,0,0.148039598,0.458847019,0,0,0,0,0.091693573,0.146923868,0,0,0,0,0.56504987,0,0.357831509,0,0.148039598,0.728532452,0.148039598,0.14785447,0.357831509,0,0,0.722438738,0,0,0,0
60,0.349052001,0.392182962,0.200903435,0,0,0.353513445,0,0,0,0,0.226624086,0,0.349052001,0.40097382,0.107066186,0,0.226624086,0.509059589,0,0,0,0.157508731,0.530815147,0.351328129,0,0.349052001,0,0,0.353719993,0.157508731,0,0.190452536,0.200903435,0.48169841,0.353513445,0.157508731,0.157508731,0,0,0,0,0,0.190452536,0.427651024,0.200903435,0.349052001,0.190452536,0,0.468485043,0.107066186,0.349052001,0.107066186,0,0.365240313,0.36956867,0.107066186,0,0.107066186,0.107066186,0.227358443,0,0,0.188916054,0.200903435,0,0,0,0,0,0.107066186,0,0.349052001,0.361377456,0,0.349052001,0,0,0.157508731,0.157508731,0.157508731,0.349052001,0.376235539,0,0,0.200903435,0.157508731,0.509992609,0,0.341364419,0,0.224085278,0.51057898,0.349052001,0,0,0,0.372818986,0.349052001,0.559712809,0,0.227651836,0,0.226624086,0,0,0.200903435,0.642563027,0,0.107066186,0.349052001,0.107066186,0,0.107066186,0,0.3028542,0,0,0.107066186,0,0.226105786,0.226624086,0.107066186,0.157508731,0,0,0.226624086,0.107066186,0.255286487,0,0,0.284245493,0,0.157508731,0.435521557,0,0,0,0,0,0.274576905,0,0.349052001,0,0,0.339599874,0.157508731,0,0,0.356517469,0.30882607,0.351328129,0.157508731,0,0,0.361377456,0,0.349052001,0.200903435,0.291128225,0.441498162,0.291128225,0,0.364655499,0.190452536,0.107066186,0.157508731,0.291128225,0,0,0,0,0,0.107066186,0,0,0.200903435,0.226624086,0,0.41728388,0,0,0,0,0,0.226624086,0.353513445,0.255286487,0,0,0.157508731,0.157508731,0,0.21637516,0,0.190452536,0.255286487,0,0.157508731,0,0
61,0,0,0,0,0.11659217,0.11659217,0.2808617,0,0.2808617,0,0,0,0,0.730341149,0,0,0,0,0,0.2808617,0.11659217,0.425852941,0.434652521,0.11659217,0,0,0,0,0.11659217,0,0,0,0,0,0,0.11659217,0.11659217,0,0,0,0,0,0,0,0.11659217,0,0,0,0.11659217,0.11659217,0.11659217,0,0,0.11659217,0.11659217,0,0,0.2808617,0,0,0.11659217,0.30410036,0,0,0,0,0,0,0,0.426572506,0,0.11659217,0.11659217,0.11659217,0,0,0.11659217,0,0,0.2808617,0.11659217,0.11659217,0,0.11659217,0.11659217,0,0,0.11659217,0.11659217,0,0.11659217,0,0,0.529601401,0.11659217,0,0,0.11659217,0,0,0.421036426,0.11659217,0,0,0.321382913,0,0,0,0,0,0,0,0,0,0,0.321382913,0,0.2808617,0.11659217,0.11659217,0,0.506679836,0.302528276,0,0,0,0,0.11659217,0,0,0.425852941,0,0.426572506,0,0,0,0,0,0,0.2808617,0,0,0,0.11659217,0.336448327,0,0,0.409581485,0.321382913,0.520618833,0.2808617,0,0,0,0,0,0,0.11659217,0.11659217,0,0,0,0.11659217,0.11659217,0.2808617,0.409581485,0,0.11659217,0.11659217,0.426572506,0.321382913,0,0,0,0,0,0,0,0,0.426572506,0.11659217,0.409581485,0.409581485,0,0.11659217,0.426572506,0,0,0,0,0,0,0.2808617,0,0,0,0,0,0,0
62,0.076197023,0.296375018,0.077253672,0.07697539,0.287156248,0.033760354,0.2179367,0.225936151,0.307059417,0,0,0.070017752,0,0.068309771,0.204680873,0.219629459,0.205257206,0.318725884,0.033760354,0,0.077731892,0.133721128,0.453429606,0.076200116,0.366211155,0.195626177,0.033760354,0.033760354,0.345957722,0.12190487,0,0.12190487,0.033760354,0.143286461,0.075716009,0.628514154,0.256902885,0.033760354,0.207239626,0.070017752,0,0,0.15582092,0.143759465,0.077690695,0.192945679,0.312861837,0.033760354,0.159604338,0.102649535,0.076197023,0,0.077123229,0.218579714,0.070017752,0.033760354,0.195626177,0.033760354,0.225016204,0.076197023,0.075716009,0.30048169,0.144253062,0.033760354,0,0,0.205413856,0,0.033760354,0.076197023,0.096071517,0.235534197,0.228526866,0.102632181,0,0.290105627,0.305212331,0.12190487,0.129389253,0.13870261,0.296923644,0.12190487,0,0.033760354,0.033760354,0.125611674,0.075716009,0.07451206,0.3119381,0,0.033760354,0.12190487,0.033760354,0.453998391,0,0.07707509,0.074971712,0.033760354,0.362403484,0,0.302690926,0.033760354,0.033760354,0.30036693,0.571684787,0.033760354,0.043367977,0.216474195,0.298708748,0.033760354,0.295569275,0.087004562,0,0,0.357990983,0.499449801,0.216267652,0.033760354,0.033760354,0.195723944,0.620650233,0,0.126262368,0.033760354,0.077219017,0.087011049,0,0.267050406,0,0.625640791,0.14769746,0.076197023,0.157556293,0.296067612,0.075919994,0.625640791,0,0.076107614,0,0.614260403,0,0.043367977,0,0.033760354,0.445952153,0.125611674,0.195876993,0.373001529,0.5143747,0.505770108,0.215649949,0.249289425,0,0.068309771,0.235490927,0.068309771,0.359047611,0,0.033760354,0.033760354,0.033760354,0.225346509,0.242148381,0.138747684,0.102632181,0.142893498,0.033760354,0.205413856,0.65569901,0.076682301,0.450668797,0,0.076616619,0.077731892,0.195876993,0.033760354,0.308622767,0.225412696,0.132399603,0.077075156,0,0.29071026,0.218527923,0.195876993,0,0.195255173,0.126131449,0.033760354,0.075129794,0.228943657,0.326276876,0.100358344,0.033760354,0.068309771,0.12190487,0.125611674,0.076197023,0.125873995,0.033760354,0
63,0,0,0.033732638,0,0,0,0,0.220834033,0,0.033732638,0.033732638,0,0,0.033732638,0.033732638,0,0.220834033,0,0.223395526,0.033732638,0,0,0,0.43213684,0.033732638,0,0,0,0,0,0,0,0.220834033,0,0.222843162,0.033732638,0.033732638,0,0,0.220834033,0,0,0,0,0,0,0.220834033,0,0.033732638,0.220834033,0,0,0.033732638,0.033732638,0.033732638,0.468373775,0.468308939,0.468264648,0.033732638,0,0,0.033732638,0.220834033,0.033732638,0,0,0,0.220834033,0,0.033732638,0,0.220834033,0,0.033732638,0.223395526,0.033732638,0,0,0.223173395,0,0,0,0,0,0.033732638,0,0,0,0.033732638,0,0,0.220834033,0,0.033732638,0,0.222864248,0.433451427,0,0,0.43213684,0.033732638,0,0,0,0,0,0,0,0.033732638,0.033732638,0,0,0,0.033732638,0.033732638,0.033732638,0,0,0,0.433451427,0,0.033732638,0.033732638,0.223260993,0,0.033732638,0.43213684,0.033732638,0,0,0,0,0.433381403,0.033732638,0,0,0,0.033732638,0.033732638,0.033732638,0.033732638,0.43213684,0,0,0,0,0.739020451,0,0,0,0,0.033732638,0,0,0.033732638,0.220834033,0,0.46715747,0,0,0,0,0,0,0.223395526,0.033732638,0,0,0.033732638,0,0,0,0.222969706,0.221471991,0.033732638,0.033732638,0.033732638,0,0.033732638,0,0,0.220834033,0.033732638,0,0.033732638,0.223166262,0.433333679,0.033732638,0.033732638,0,0.033732638,0.033732638,0.033732638,0.033732638,0,0.222843162,0.033732638,0.220834033,0,0
64,0,0,0,0,0,0,0,0,0.173020231,0,0,0,0,0.274711528,0.354482215,0,0,0,0,0.549423056,0,0,0,0,0,0,0,0,0,0,0,0.240701611,0,0.36019544,0.173020231,0,0.39959574,0,0,0,0,0.603935144,0,0.549423056,0,0,0.545803698,0,0.327341082,0.173020231,0,0.51325324,0,0.327341082,0,0,0,0,0.173020231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370254216,0,0,0,0,0,0,0.36019544,0,0,0.240701611,0,0,0.36019544,0.173020231,0,0.39959574,0.36019544,0.557106816,0,0,0.173020231,0.327341082,0,0,0,0,0.173020231,0,0,0,0,0.173020231,0.240701611,0,0,0,0,0,0.173020231,0,0,0,0,0.173020231,0,0.549423056,0,0.619591275,0,0,0.549423056,0,0,0,0.173020231,0,0,0,0,0,0,0.240701611,0.296434252,0.173020231,0,0,0,0,0,0,0,0,0,0,0.173020231,0,0,0,0.173020231,0,0,0.173020231,0,0.557106816,0,0,0,0.173020231,0.173020231,0,0.327341082,0,0,0,0,0,0.294355942,0.240701611,0.240701611,0,0,0,0,0,0,0,0.173020231,0,0,0.619591275,0,0,0,0.173020231,0,0.173020231,0.445080804,0,0,0.569913764,0,0.549423056,0.240701611,0
65,0.108315677,0.841296077,0.999478751,0.839408638,0,0.108315677,0.249392603,0.61239957,0.831236752,0,0,0.224642793,0.619160748,0,0.335214757,0.249392603,0.224642793,0.108315677,0.108315677,0,0.617050653,0.793511818,0.619773483,0.244478099,0.574391564,0.108315677,0.108315677,0.108315677,0.559196663,0,0,0,0.108315677,0.242807873,0.108315677,0.108315677,0.245814396,0.108315677,0.108315677,0.224642793,0.569709443,0,0.222733179,0.579914765,0.616152326,0,0.139140477,0.108315677,0.588157277,0.618473721,0.108315677,0,0.247439787,0.585316281,0.575918982,0.108315677,0.108315677,0.108315677,0.568937691,0.108315677,0.575021494,0.803790528,0.247858298,0.108315677,0.573147856,0,0,0,0.108315677,0.108315677,0.224642793,0.609436607,0.585506529,0.747065361,0.460651621,0.222733179,0,0,0.139140477,0.224229437,0.108315677,0,0,0.108315677,0.108315677,0.108315677,0.575021494,0.108315677,0.623812987,0,0.108315677,0,0.108315677,0.583223508,0,0.805945981,0.108315677,0.352061043,0.573147856,0,0.578964939,0.108315677,0.108315677,0.566622752,0.249060844,0.108315677,0.139140477,0,0.776849375,0.108315677,0.224642793,0.176330254,0,0.335214757,0.572339597,0.808114683,0.222733179,0.108315677,0.108315677,0.473214752,0.62091339,0,0.108315677,0.108315677,0.247747112,0.599668889,0,0.246129214,0,0,0.175987763,0.108315677,0.813384964,0.583013461,0.615436,0,0,0.108315677,0,0.56060332,0,0.582038695,0,0.108315677,0.809789166,0.108315677,0.108315677,0.246129214,0.176330254,0.247391767,0,0.108315677,0,0,0.809318305,0,0.108315677,0,0.108315677,0.108315677,0.108315677,0,0.139140477,0,0.98798993,0.108315677,0.108315677,0.460651621,0.108315677,0.246025129,0.583293023,0,0.245814396,0.249392603,0.108315677,0.108315677,0.108315677,0,0.171546338,0.620630895,0,0.108315677,0.108315677,0.108315677,0,0.108315677,0.582432992,0.108315677,0.241044112,0.108315677,0.619713605,0.610440124,0.536788863,0,0,0.108315677,0.108315677,0.108315677,0.108315677,0
66,0.234920052,0.314761033,0.214925183,0.256789426,0.144326714,0.217210911,0.263146195,0,0.214457366,0,0.144326714,0,0.159919796,0.367376095,0,0.172084542,0.273579955,0.039969863,0.039969863,0.144326714,0.039969863,0.039969863,0.039969863,0.039969863,0.039969863,0.164441489,0.171700499,0.039969863,0.26036042,0,0,0,0.275855184,0.213071064,0.164441489,0.039969863,0.275855184,0.149759107,0.17185566,0,0,0,0,0.164346852,0.214006753,0.159919796,0.144326714,0.039969863,0.039969863,0.372317112,0.164839107,0.339972616,0.039969863,0.263410589,0,0.039969863,0.039969863,0.039969863,0.220796979,0.039969863,0.149330683,0.391825489,0.263146195,0.039969863,0.21149885,0,0,0,0.039969863,0.039969863,0,0.159919796,0.528095692,0.039969863,0.159919796,0,0.370357145,0,0,0,0.217335193,0.159919796,0,0.039969863,0.341798089,0.039969863,0.164839107,0.039969863,0.487534566,0,0.039969863,0.159919796,0.217281408,0.039969863,0,0.172084542,0.346952347,0.164441489,0.31356276,0.167378313,0.273579955,0.039969863,0.039969863,0.144326714,0.171142192,0.171700499,0.159919796,0.144326714,0.215242545,0.317521879,0,0.039969863,0,0,0.149330683,0.449968971,0.221010633,0.148134889,0.039969863,0.039969863,0.271655412,0.221010633,0.039969863,0.149330683,0.039969863,0.21149885,0,0.843905292,0,0.273579955,0.320500507,0.039969863,0.263374983,0.262753196,0.039969863,0,0,0.039969863,0.167378313,0,0,0.231494797,0,0.415110509,0.159919796,0.275855184,0.039969863,0.039969863,0.399345269,0.43447208,0,0.039969863,0,0,0.16458872,0,0.234920052,0,0.039969863,0.338951991,0.039969863,0,0.159919796,0.144326714,0.21519122,0.039969863,0.17061048,0,0.039969863,0.039969863,0.215242545,0.221010633,0.407947714,0.172084542,0.039969863,0.172084542,0.039969863,0,0.148134889,0.149759107,0.273579955,0.039969863,0.039969863,0.039969863,0,0.163865408,0.214925183,0.147610116,0.039969863,0.039969863,0.334990598,0.214925183,0.039969863,0,0.273579955,0.039969863,0.039969863,0.64702809,0.039969863,0.167378313
67,0.16304759,0.384544069,0.38629252,0.383681348,0,0.049509504,0.113993693,0.320137288,0.409829463,0,0,0.102680918,0.460013042,0.155349044,0.153221737,0.113993693,0.1862168,0.049509504,0.049509504,0,0.282044782,0.311682809,0.283289348,0.111747345,0.26254594,0.049509504,0.049509504,0.049509504,0.255600574,0,0,0,0.161640782,0.189273645,0.049509504,0.049509504,0.112358147,0.049509504,0.049509504,0.102680918,0.260405811,0.155349044,0.101808062,0.265070514,0.28163417,0,0.063599067,0.049509504,0.113292384,0.282695246,0.049509504,0,0.190382642,0.11307914,0.102680918,0.049509504,0.162465313,0.16304759,0.092186065,0.049509504,0.262833872,0.317124699,0.192170497,0.049509504,0.261977459,0,0,0,0.16304759,0.162465313,0.102680918,0.50517257,0.191080676,0.239002796,0.210557084,0.185410671,0.155349044,0,0.063599067,0.102491979,0.049509504,0,0,0.160182594,0.161640782,0.049509504,0.262833872,0.049509504,0.324683011,0,0.441122815,0.391921084,0.049509504,0.433666016,0,0.28202865,0.049509504,0.160921927,0.261977459,0,0.102680918,0.049509504,0.049509504,0.25899493,0.11384205,0.049509504,0.063599067,0,0.266614666,0.049509504,0.102680918,0.080597967,0.155349044,0.153221737,0.094602963,0.592134006,0.185392851,0.049509504,0.049509504,0.216299507,0.323486843,0,0.16304759,0.049509504,0.113241563,0.315061969,0,0.407286393,0,0,0.080441419,0.049509504,0.28101893,0.113765386,0.281306748,0,0,0.049509504,0.155349044,0.175019585,0,0.266041331,0.155349044,0.049509504,0.278564514,0.049509504,0.049509504,0.112502045,0.399843764,0.191896319,0.155349044,0.049509504,0,0,0.519968149,0,0.44122163,0.155349044,0.049509504,0.162195656,0.049509504,0,0.063599067,0,0.384801311,0.049509504,0.16087182,0.261663163,0.16304759,0.11245447,0.266614666,0.155349044,0.112358147,0.113993693,0.049509504,0.049509504,0.162296487,0.155349044,0.078411309,0.283681258,0,0.049509504,0.049509504,0.049509504,0,0.049509504,0.308227336,0.049509504,0.189511937,0.049509504,0.283261978,0.279023207,0.161719877,0,0,0.049509504,0.049509504,0.049509504,0.049509504,0.693160168
68,0,0.299501311,0,0,0,0,0,0.306610699,0,0,0,0.306610699,0.458824414,0.48254397,0,0,0.306610699,0,0.306610699,0,0,0,0,0,0.299501311,0,0,0,0.372610469,0.306610699,0,0.572793049,0.372610469,0.306610699,0,0,0,0,0,0,0,0.372610469,0,0,0.299501311,0,0,0.372610469,0,0,0,0,0,0,0,0,0,0,0,0.526950779,0,0.299501311,0,0,0,0,0,0,0.306610699,0,0,0,0,0,0,0,0,0,0,0,0.458824414,0.299501311,0,0.458824414,0,0,0,0,0,0,0,0,0,0,0,0.306610699,0,0,0,0,0,0,0,0,0,0,0.372610469,0,0,0,0,0,0,0,0,0,0,0.572793049,0,0,0,0.306610699,0,0.306610699,0.306610699,0,0.306610699,0.372610469,0,0,0,0,0,0,0,0,0,0,0,0,0.372610469,0.458824414,0.299501311,0,0,0,0,0,0.372610469,0,0,0,0.299501311,0,0,0.372610469,0.372610469,0,0,0,0,0,0,0.372610469,0,0,0.299501311,0,0.478058152,0,0,0,0,0,0,0,0,0,0.299501311,0,0,0.306610699,0,0.299501311,0.428615394,0,0.299501311,0.299501311,0,0.299501311,0,0,0.372610469,0,0.306610699,0,0,0,0,0
69,0,0.06997244,0.06997244,0.208179284,0.196688475,0.196688475,0.06997244,0.06997244,0.06997244,0,0.196688475,0.06997244,0,0.842605439,0,0.06997244,0.06997244,0,0,0.385395984,0.06997244,0.06997244,0.06997244,0.06997244,0,0,0,0.331426777,0,0,0,0,0,0.208381735,0,0.446361436,0.06997244,0.196688475,0,0.06997244,0,0,0.06997244,0.331426777,0.06997244,0,0.206661797,0,0.06997244,0.06997244,0,0,0.06997244,0.06997244,0.06997244,0,0,0,0.385395984,0,0.196688475,0.208332353,0.06997244,0,0,0,0,0,0,0,0.06997244,0.06997244,0.207887214,0.06997244,0,0.06997244,0,0,0.06997244,0.06997244,0.196688475,0.331426777,0.446361436,0,0,0.331426777,0.331426777,0,0.06997244,0,0,0,0.196688475,0.53531405,0,0.06997244,0,0.331426777,0,0,0.06997244,0,0,0.492768739,0.535556336,0,0.06997244,0.196688475,0,0,0.06997244,0.06997244,0,0,0.196688475,0,0.207887214,0.385395984,0,0,0.06997244,0.385395984,0,0.38316533,0.06997244,0,0,0.593490844,0,0,0.555619684,0,0.338123194,0.06997244,0.06997244,0,0,0,0,0,0,0.06997244,0,0,0.06997244,0,0,0.06997244,0.385201804,0.06997244,0,0.446361436,0,0,0.06997244,0,0,0,0,0.551610092,0,0,0.06997244,0.196688475,0.06997244,0,0,0,0,0.06997244,0,0.196688475,0.06997244,0.06997244,0,0,0,0,0.391696575,0.208764218,0,0,0,0,0,0,0.604492196,0.196688475,0.06997244,0.446361436,0.06997244,0.06997244,0,0,0.604492196,0.446361436,0,0,0,0
70,0,0.159283985,0.303499385,0.407760393,0.277322436,0.277322436,0.159283985,0.159283985,0.159283985,0,0.277322436,0.159283985,0.514215876,0.277322436,0,0.303499385,0.303499385,0,0,0.5268505,0.159283985,0.098658183,0.156306531,0.301548523,0.447955038,0,0.447955038,0.517111404,0,0,0,0.258341806,0.258341806,0.31626564,0.258341806,0,0.159283985,0.277322436,0,0.159283985,0,0,0.157929965,0,0.159283985,0,0.389167425,0,0.159283985,0.301185871,0,0.258341806,0.158973129,0.157929965,0.159283985,0.447955038,0.447955038,0,0.391640759,0,0.277322436,0.58782582,0.159283985,0,0,0,0,0,0,0,0.159283985,0.159283985,0.408961657,0.159283985,0,0.157929965,0,0,0.800031319,0.158990893,0.840966353,0,0,0,0,0.258341806,0.258341806,0,0.465335528,0,0,0,0.379009528,0.301666539,0,0.157929965,0,0,0.258341806,0,0.159283985,0,0,0.53600829,0.159283985,0,0.098658183,0.277322436,0,0,0.303499385,0.276539194,0,0,0.395768219,0,0.410146627,0.277322436,0,0,0.157929965,0.277322436,0.447955038,0.5268505,0.15808351,0.125051793,0,0.410146627,0,0,0.098658183,0,0.303499385,0.158973129,0.301253378,0,0,0,0,0.46508243,0,0.098658183,0.258341806,0,0.159283985,0,0,0.157929965,0.385226941,0.30226631,0,0,0,0,0.303350775,0,0,0.258341806,0,0.365539772,0,0,0.276539194,0.372379323,0.159283985,0,0.258341806,0,0,0.158517326,0.258341806,0.277322436,0.159283985,0.159283985,0,0,0,0,0.294348723,0.606930645,0,0,0,0.447955038,0.793924854,0,0.258341806,0.277322436,0.159283985,0,0.159283985,0.159084796,0,0,0.793924854,0,0,0.258341806,0,0
71,0.454523785,0.665977102,0,0,0,0,0.179949343,0.179949343,0.493715412,0.179949343,0.556806243,0.454523785,0,0.761380043,0.179949343,0.179949343,0.462286231,0,0,0.494468577,0,0.179949343,0,0.179949343,0.984612002,0.462286231,0.462286231,0.462286231,0.483198373,0.454523785,0,0,0,0,0.496074919,0,0.710149943,0.179949343,0.179949343,0,0.179949343,0.179949343,0,0,0,0,0.488849299,0,0.179949343,0.179949343,0,0.488849299,0.488849299,0.179949343,0,0.462286231,0.462286231,0.179949343,0,0,0,0,0.88369838,0.556806243,0,0.179949343,0,0.695251707,0,0.454523785,0,0,0,0.454523785,0.179949343,0.179949343,0,0.488849299,0,0,0.487118682,0.179949343,0,0.670884732,0.496074919,0.179949343,0,0,0.179949343,0,0,0,0.179949343,0.487118682,0.179949343,0,0.733873249,0.517747167,0.483198373,0,0.667066759,0,0,0,0,0,0,0,0.179949343,0.179949343,0,0.690114663,0,0,0.179949343,0,0.487118682,0,0,0,0.179949343,0,0.648305816,0.889196756,0.179949343,0,0.179949343,0.487118682,0,0,0.487118682,0.179949343,0.517747167,0.707071296,0,0,0.454523785,0,0.519294114,0.179949343,0,0.454523785,0,0,0,0.179949343,0.519294114,0,0,0.179949343,0,0,0.487118682,0.454523785,0,0,0,0,0,0.493715412,0,0,0,0,0.179949343,0.179949343,0.179949343,0.488849299,0.179949343,0.556806243,0,0.556806243,0.487223744,0.179949343,0,0.488849299,0,0,0.516993823,0,0,0,0.454523785,0.454523785,0,0,0.735427137,0.666240559,0.486471507,0,0.454523785,0.67156025,0,0,0.488849299,0,0.487223744,0,0.179949343,0
72,0,0.212521641,0,0,0,0,0.32873657,0,0.305466339,0.280471191,0,0,0,0.321385115,0,0,0.208790552,0,0.208790552,0,0,0,0,0.191825255,0.463295908,0,0.073032273,0,0,0,0,0.309634384,0.221194954,0.191825255,0.149708177,0.191825255,0.13068598,0,0.220287987,0.147276639,0.073032273,0,0.271300938,0,0.221194954,0,0,0.073032273,0.255016042,0.073032273,0,0.243329954,0.384024676,0.301643675,0.073032273,0.146080049,0.073032273,0.2052575,0,0,0,0.256916393,0.224720184,0.149708177,0,0,0,0.212521641,0.203982403,0.148187386,0,0,0.148900874,0,0,0.301186808,0.411676633,0.073032273,0.2052575,0.326588662,0.212521641,0.323356012,0.191825255,0.221194954,0,0.271300938,0,0,0.254050242,0,0,0,0,0.304117724,0,0,0.297924391,0.247985692,0.506829317,0.309634384,0.191825255,0,0.13068598,0,0,0,0,0.191825255,0.208790552,0.204309886,0,0.212521641,0,0.309634384,0,0,0.247985692,0.208790552,0,0,0,0.241436554,0.208790552,0.259957663,0.380014076,0,0.148648403,0.212521641,0.280958914,0,0.295419434,0.246317519,0.247985692,0.148900874,0.208790552,0,0,0,0.365180445,0,0.243329954,0.33226665,0,0.309634384,0,0.073032273,0.344629724,0,0.318711293,0,0.073032273,0.191825255,0.212521641,0,0,0,0,0,0,0.380526818,0.073032273,0,0,0.309634384,0.322319415,0,0,0,0.191825255,0.618185596,0.30769549,0.271300938,0.073032273,0.145058936,0,0,0.073032273,0.149708177,0.224720184,0,0,0.073032273,0.271300938,0,0,0.59404772,0.255118985,0.223822128,0.467673722,0,0,0.212521641,0.433610588,0,0,0,0.073032273,0.149708177,0.32052148,0.073032273
73,0.100628269,0.159636662,0,0.100628269,0.177724183,0,0.100628269,0.100628269,0.188705889,0,0.100628269,0,0.401157609,0.177724183,0,0,0.259979177,0,0.211440272,0.207075923,0.100628269,0,0.100628269,0,0.206685278,0.188414207,0.203198524,0.159636662,0.177724183,0,0,0.177724183,0.16525863,0,0.159636662,0.164679179,0.203710414,0,0.193485047,0,0,0.613907639,0,0.241580792,0.16525863,0,0,0,0.16525863,0,0,0.177724183,0.16525863,0,0.100628269,0.205302396,0.207075923,0.100628269,0,0,0.100628269,0.16525863,0.159636662,0,0,0.177724183,0,0.159636662,0,0,0,0,0.380750397,0,0,0,0.177724183,0,0,0.100628269,0.100628269,0,0,0.229770056,0.207075923,0.486925004,0.100628269,0,0.16525863,0,0,0,0,0.191979404,0,0.100628269,0.209638804,0,0,0.131896072,0.207075923,0,0.490743215,0,0.100628269,0,0,0,0.16525863,0,0,0,0,0,0,0,0.100628269,0.16525863,0.131896072,0,0,0.131896072,0.249454627,0.207075923,0.100628269,0,0,0,0.100628269,0,0.193485047,0.16525863,0.100628269,0.159636662,0.361343806,0,0.177724183,0,0,0,0.177724183,0.221319812,0,0,0.100628269,0.131896072,0,0,0,0,0,0,0,0,0,0.100628269,0,0,0,0.263018727,0.131896072,0,0.177724183,0.177724183,0,0.365837434,0,0.35532417,0,0,0,0.177724183,0.100628269,0.100628269,0,0.100628269,0,0,0.165899435,0.321339278,0.131896072,0.100628269,0,0,0,0.131896072,0.192332436,0.100628269,0.100628269,0,0,0.159636662,0.16525863,0,0,0.131896072,0.16281016,0,0,0
